#ProfileFileVersion=5.6
#ProfilerVersion=5.6.7262
#API=HSA
#Application=/root/MIOpen/build/bin/MIOpenDriver
#ApplicationArgs=conv -n 64 -c 3 -H 230 -W 230 -k 64 -y 7 -x 7 -p 0 -q 0 -u 2 -v 2 -l 1 -j 1 -m conv -g 1 -t 1 -F 1 -V 0
#WorkingDirectory=./bin/
#OS Version=Linux version 4.13.0-32-generic (buildd@lgw01-amd64-004) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.5)) #35~16.04.1-Ubuntu SMP Thu Jan 25 10:13:43 UTC 2018 Build 4.13.0
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, GlobalWorkSize, WorkGroupSize, LocalMemSize, VGPRs, SGPRs, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, FlatVMemInsts, FlatLDSInsts, FetchSize, WriteSize
MIOpenConv1x1_gfx906, 7, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25126.75,     25088.00
MIOpenConv1x1_gfx906, 8, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25132.44,     25088.00
MIOpenConv1x1_gfx906, 9, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25125.81,     25088.00
MIOpenConv1x1_gfx906, 10, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25137.94,     25088.00
MIOpenConv1x1_gfx906, 11, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25138.69,     25088.00
MIOpenConv1x1_gfx906, 12, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25129.94,     25088.00
MIOpenConv1x1_gfx906, 13, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25136.06,     25088.00
MIOpenConv1x1_gfx906, 14, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25152.81,     25088.00
MIOpenConv1x1_gfx906, 15, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25125.38,     25088.00
#ProfileFileVersion=5.6
#ProfilerVersion=5.6.7262
#API=HSA
#Application=/root/MIOpen/build/bin/MIOpenDriver
#ApplicationArgs=conv -n 64 -c 64 -H 56 -W 56 -k 64 -y 3 -x 3 -p 1 -q 1 -u 1 -v 1 -l 1 -j 1 -m conv -g 1 -t 1 -F 1 -V 0
#WorkingDirectory=./bin/
#OS Version=Linux version 4.13.0-32-generic (buildd@lgw01-amd64-004) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.5)) #35~16.04.1-Ubuntu SMP Thu Jan 25 10:13:43 UTC 2018 Build 4.13.0
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, GlobalWorkSize, WorkGroupSize, LocalMemSize, VGPRs, SGPRs, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, FlatVMemInsts, FlatLDSInsts, FetchSize, WriteSize
sp3AsmConv3x3F_gfx906, 1, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122673.43,     16467.33,      6306.00,         1.00,       400.00,         0.00,         0.00,     31106.06,     25109.66
sp3AsmConv3x3F_gfx906, 2, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122653.32,     16439.95,      6306.00,         1.00,       400.00,         0.00,         0.00,     31041.44,     25107.41
sp3AsmConv3x3F_gfx906, 3, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122691.70,     16484.46,      6306.00,         1.00,       400.00,         0.00,         0.00,     30979.50,     25109.16
sp3AsmConv3x3F_gfx906, 4, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122609.21,     16416.22,      6306.00,         1.00,       400.00,         0.00,         0.00,     31031.88,     25105.84
